Title,main_category,category,date,description
le,Medical,Medical,2023-10-08,excision limbal dermoids reviewed clinical file patient undergone excision unilateral epibulbar limbal dermoids preoperatively affected eye worse visual acuity p le astigmatism p le contralateral eye postoperatively every patient cosmetically improved eight patient preoperative postoperative visual acuity measurement obtained six changed minimally le equal line two improved le equal line surgical complication included persistent epithelial defect peripheral corneal vascularization opacity complication outweigh cosmetic visual benefit dermoid excision selected patient
facial,Medical,Medical,2023-10-08,bell palsy diagnosis exclusion case acute unilateral facial weakness careful systematic evaluation necessary identify cause idiopathic facial paralysis bell palsy diagnosis exclusion also common cause unilateral facial weakness seen primary care physician important aspect initial treatment eye protection administration systemic oral corticosteroid may lessen severity duration symptom
body,Medical,Medical,2023-10-08,retained endobronchial foreign body removal facilitated steroid therapy obstructing inflammatory polyp oral topical steroid used induce regression inflammatory obstructing endobronchial polyp caused retained foreign body fb peanut half present six month able easily bloodlessly retrieved fiberoptic bronchoscopy
crohn,Medical,Medical,2023-10-08,recurrent buccal space abscess complication crohn disease patient described generalized gastrointestinal involvement crohn disease symptom recurrent ulceration mucosal tag oral manifestation crohn disease however patient recurrent facial abscess required extraoral drainage also developed complication previously reported
aggressive,Medical,Medical,2023-10-08,intracranial fibromatosis fibromatoses uncommon infiltrative lesion affecting musculoaponeurotic structure often limb trunk lesion involving cranial cavity rare require aggressive surgical management elsewhere body case illustrates clinical neuroradiological feature underscore necessity aggressive resection avoid recurrence literature reviewed
itms,Medical,Medical,2023-10-08,effect intrathecal morphine somatosensory evoked potential awake human although effect systemic opioids somatosensory evoked potential well described little known interaction intrathecally administered opioid analgesic somatosensory evoked potential accordingly influence intrathecally administered morphine posterior tibial nerve somatosensory cortical evoked potential ptsceps investigated unpremedicated awake neurologically normal patient scheduled undergo elective abdominal pelvic procedure patient randomly assigned receive either intrathecal morphine sulfate itms placebo baseline ptscep heart rate mean blood pressure recorded itms injected via standard dural puncture patient lateral position ptsceps heart rate mean blood pressure recorded min control patient treated identically including position sterile preparation subcutaneous tissue infiltration local anesthetic except lumbar puncture unaware randomization administration itms ptscep latency mean standard deviation respectively corresponding amplitude microv respectively significant change time control itms group ptsceps resulting stimulation different elicited stimulation itms patient intense postoperative analgesia least concluded itms affect ptscep waveform latency range awake state
information,Medical,Medical,2023-10-08,rovenstine lecture clinical challenge anesthesiologist conclusion hope comment reaffirmed bias even importantly stimulated think different way information explosion specialty medicine general believe specialty golden era benefit past nourished new discovery understanding clinician must accept challenge recognizing new information deserves incorporation practice old information deserves sustained merit new scrutiny perhaps discarded one wish would anesthesiologist would never lose zeal student thirst new information continuum anesthesia education indeed process wish lady gentleman challenge anesthesiologist
patient,Medical,Medical,2023-10-08,mortality patient treated flecainide encainide supraventricular arrhythmia recent clinical trial class ic antiarrhythmic drug encainide flecainide found associated increased mortality risk patient new myocardial infarction ventricular arrhythmia purpose study as whether increased mortality risk also accompanied use drug treat patient supraventricular arrhythmia data obtained respective pharmaceutical sponsor mortality observed drug united state foreign protocol enrolling patient supraventricular arrhythmia mortality encainide population patient flecainide population patient compared research arrhythmia clinic duke population patient nine death occurred combined population death occurred duke population period averaged day day respectively survival function population estimated technique differ significantly p hazard ratio combined population relative duke population estimated confidence interval descriptive comparison demonstrate excess mortality flecainide encainide used patient supraventricular arrhythmia
lymphokine,Medical,Medical,2023-10-08,approach immunotherapy cancer characterization lymphokine second signal cytotoxic generation lymphokine soluble molecule produced cell immune system regulate interaction consequently functional status immune system altering immunoregulatory pathway lymphokine vivo may provide mechanism controlling variety immunologic disorder although normally produced vivo small quantity widespread availability recombinant lymphokine made possible study molecular signal involved production lymphocyte effector activity tumor example cancer immunotherapy program certain clinical situation suggested immunologic intervention influence regression metastatic cancer ultimately successful application biologic agent requires understanding interaction immune system tumor molecular level induce given biologic effect necessary classify required lymphokine identify relevant effector cell population review examine progress made identifying requirement cytotoxic function
retinal,Medical,Medical,2023-10-08,retinal artery obstruction atheroma associated large cell lymphoma reticulum cell sarcoma woman developed branch retinal artery obstruction presenting manifestation large cell lymphoma multifocal chorioretinal scar present eye experienced progressive visual loss accompanied development multiple yellow retinal arterial wall plaque extension retinal opacification quadrant increasing vitreous cellular infiltration clinical diagnosis included branch retinal arterial obstruction caused toxoplasmosis retinitis multifocal choroiditis panuveitis simulating presumed ocular histoplasmosis syndrome vitiliginous chorioretinitis acute retinal necrosis syndrome four month onset right eye blind enucleated histopathologic examination revealed extensive lymphomatous infiltration necrosis retina optic nerve retinal artery partly obstructed lymphomatous infiltration atheroma subsequently left eye central nervous system involved lymphoma
