headline,category,date,short_description_clean,main_category
Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,U.S. NEWS,2022-09-23,health expert said early predict whether demand would match million dos new booster ordered fall,News
"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video",U.S. NEWS,2022-09-23,subdued passenger crew fled back aircraft confrontation according attorney office los angeles,News
23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23),COMEDY,2022-09-23,dog understand could eaten,News
The Funniest Tweets From Parents This Week (Sept. 17-23),PARENTING,2022-09-23,accidentally put toothpaste toothbrush screamed like cleaning teeth carolina reaper dipped tabasco sauce,News
Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer,U.S. NEWS,2022-09-22,amy cooper accused investment firm franklin templeton unfairly firing branding racist video central park encounter went viral,News
Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police,U.S. NEWS,2022-09-22,woman seen working south carolina store thursday found dead monday family reported missing authority said,News
Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,U.S. NEWS,2022-09-22,behind anchor new asked journalist michelle ross finished interview,News
Puerto Ricans Desperate For Water After Hurricane FionaÃÂs Rampage,WORLD NEWS,2022-09-22,half million people remained without water service three day storm lashed territory,News
How A New Documentary Captures The Complexity Of Being A Child Of Immigrants,CULTURE & ARTS,2022-09-22,mija director isabel castro combined music documentary style euphoria clueless tell nuanced immigration story,News
Biden At UN To Call Russian War An Affront To Body's Charter,WORLD NEWS,2022-09-21,white house official say crux president visit year condemnation russia brutal war,News
World Cup Captains Want To Wear Rainbow Armbands In Qatar,WORLD NEWS,2022-09-21,fifa come pressure several european soccer federation want support human right campaign discrimination world cup,News
Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,WORLD NEWS,2022-09-21,incident underscore growing wave protest funeral shinzo abe one divisive leader postwar japanese politics,News
Fiona Threatens To Become Category 4 Storm Headed To Bermuda,WORLD NEWS,2022-09-21,hurricane fiona lashed turk caicos island forecast squeeze past bermuda later week,News
"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000",TECH,2022-09-21,one man claim scammed people platform caused several popular streamer consider twitch boycott,News
Virginia Thomas Agrees To Interview With Jan. 6 Panel,U.S. NEWS,2022-09-21,conservative activist virginia thomas wife supreme court justice clarence thomas agreed participate voluntary interview house panel investigating insurrection,News
Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,WORLD NEWS,2022-09-20,polyakov trip outer space saw orbit earth time travel nearly million mile,News
'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots,CULTURE & ARTS,2022-09-20,starring key judy greer johnny knoxville hulu show follows revival fictional early sitcom,News
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,2022-09-20,maury will helped los angeles dodger win three world series title prowess died,News
4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,WORLD NEWS,2022-09-20,concerted quickening effort swallow four region could set stage moscow escalate war,News
