Title,main_category,category,date,description
calculation prompt diphoton production cross section tevatron lhc energy,Research Paper,hep-ph,2008-11-26,fully differential calculation perturbative quantum chromodynamics presented production massive photon pair hadron collider order perturbative contribution anti quark subprocesses included well resummation gluon radiation valid logarithmic accuracy region phase space specified calculation reliable good agreement demonstrated data fermilab tevatron prediction made detailed test cdf data prediction shown distribution diphoton pair produced energy large hadron collider lhc distribution diphoton pair decay higgs boson contrasted produced qcd process lhc showing enhanced sensitivity signal obtained judicious selection event
graph decomposition,Research Paper,math.CO cs.CG,2008-12-13,describe new algorithm k game color use obtain characterization family k graph algorithmic solution family problem concerning tree decomposition graph special instance sparse graph appear rigidity theory received increased attention recent year particular colored pebble generalize strengthen previous result lee streinu give new proof characterization arboricity also present new decomposition certifies sparsity based k game color work also expose connection pebble game algorithm previous sparse graph algorithm gabow gabow westermann hendrickson
evolution system based dark matter field fluid model,Research Paper,physics.gen-ph,2008-01-13,evolution system described dark matter field fluid model proposed meeting division particle field american physical society current behavior system agrees model well general pattern evolution system described model agrees geological fossil evidence closest distance moon earth km billion year ago far beyond roche limit result suggests tidal friction may primary cause evolution system average dark matter field fluid constant derived system data x model predicts mar rotation also slowing angular acceleration rate x rad
determinant stirling cycle number count unlabeled acyclic automaton,Research Paper,math.CO,2007-05-23,show determinant stirling cycle number count unlabeled acyclic automaton proof involves bijection automaton certain marked lattice path involution evaluate determinant
dyadic,Research Paper,math.CA math.FA,2013-10-15,paper show compute norm using dyadic grid result consequence description hardy space term dyadic special atom
bosonic character atomic cooper pair across resonance,Research Paper,cond-mat.mes-hall,2015-05-13,study wave function paired atom fermi gas tunable interaction strength controlled feshbach resonance cooper pair wave function examined bosonic character quantified correction bose enhancement factor associated creation annihilation composite particle operator example given uniform gas two definition cooper pair wave function examined one chosen reflect long range order odlro another one corresponds pair projection bcs state side negative scattering length found paired atom described odlro bosonic pair projected definition also found definition give similar result atom occupy corresponding molecular condensate
polymer quantum mechanic continuum limit,Research Paper,gr-qc,2008-11-26,rather quantum representation canonical commutation relation quantum mechanic system known polymer representation gained attention recent year due possible relation planck scale physic particular approach followed symmetric sector loop quantum gravity known loop quantum cosmology explore different aspect relation ordinary schroedinger theory polymer description paper two part first one derive polymer quantum mechanic starting ordinary schroedinger theory show polymer description arises appropriate limit second part consider continuum limit theory namely reverse process one start discrete theory try recover back ordinary schroedinger quantum mechanic consider several example interest including harmonic oscillator free particle simple cosmological model
numerical solution shock ramp compression general material property,Research Paper,cond-mat.mtrl-sci,2009-02-05,general formulation developed represent material model application dynamic loading numerical method devised calculate response shock ramp compression ramp decompression generalizing previous solution scalar equation state numerical method found flexible robust matched analytic result high accuracy basic ramp shock solution method coupled solve composite deformation path impact shock interaction planar interface different material calculation capture much physic typical material dynamic experiment without requiring simulation example calculation made loading history metal illustrating effect plastic work temperature induced experiment effect phase transition
spitzer survey large nearby insterstellar cloud ix serpens yso population observed irac mips,Research Paper,astro-ph,2010-03-18,discus result combined irac mips spitzer legacy observation serpens region particular present set criterion isolating bona fide young stellar object yso extensive background contamination object discus property resulting high confidence set yso find object field covered irac mips additional set lower confidence yso outside area identified mips data combined photometry describe two set result diagram compare observed source property theoretical model system modeling subset object appear object exhibit wide range disk property many fit actively accreting disk passive disk even possibly debris disk find luminosity function yso serpens extends least x lsun lower assumed distance pc lower limit may set inability distinguish yso source lack yso low luminosity spatial clustering analysis show nominally yso highly clustered later stage background population fit correlation function seen study also present table match several previous infrared study serpens yso population spitzer data set
partial cube structure characterization construction,Research Paper,math.CO,2007-05-23,partial cube isometric subgraphs hypercubes structure graph defined mean semicubes c winkler relation play important role theory partial cube structure employed paper characterize bipartite graph partial cube arbitrary dimension new characterization established new proof known result given operation cartesian product pasting expansion contraction process utilized paper construct new partial cube old one particular isometric lattice dimension finite partial cube obtained mean operation calculated
